215707_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FM
215727_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RSG
215728_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RSG
215737_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FM
215738_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RSG
215744_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RSG
215768_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RSG
215782_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RSG
215831_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RSG
215891_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FO
215929_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FM
215932_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FO
215956_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FO
216069_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FM
216093_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FM
216110_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,W_Ursae_Maj
216173_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FO
216177_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RV_Tauri
216312_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FM
216340_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,W_Ursae_Maj
216354_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,Mira
216368_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FO
216373_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FM
216439_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FM
216517_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,Delta_Scuti
216558_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FM
216610_nsfd_to_KELT_N02_lc_002050_V01_east_raw_lc,RR_Lyrae_FO
